IE10-5	92546	9.25%
IE10-4	34485	3.45%
IE10-3	28656	2.87%
IE10-2	26473	2.65%
IE19-5	22553	2.26%
IE12-2	22417	2.24%
IE20-5	21482	2.15%
IE23-3	21234	2.12%
IE22-3	20824	2.08%
IE20-4	20821	2.08%
IE17-2	20694	2.07%
IE20-3	20686	2.07%
IE17-5	19886	1.99%
IE12-5	19287	1.93%
IE19-4	19264	1.93%
IE13-5	19060	1.91%
IE21-3	18976	1.90%
IE23-4	18624	1.86%
IE21-5	18496	1.85%
IE18-5	18473	1.85%
IE16-4	17623	1.76%
IE22-4	17098	1.71%
IE21-1	16776	1.68%
IE11-4	16039	1.60%
IE19-3	15991	1.60%
IE11-3	15594	1.56%
IE14-1	15044	1.50%
IE20-1	14489	1.45%
IE14-4	13273	1.33%
IE23-5	13254	1.33%
IE19-2	13172	1.32%
IE21-2	12707	1.27%
IE16-2	12332	1.23%
IE12-1	12317	1.23%
IE23-2	11935	1.19%
IE13-2	11504	1.15%
IE17-3	11380	1.14%
IE22-2	11312	1.13%
IE14-2	11308	1.13%
IE14-3	11258	1.13%
IE16-5	11171	1.12%
IE17-4	11058	1.11%
IE22-1	11052	1.11%
IE13-3	11018	1.10%
IE16-1	10955	1.10%
IE24-4	10919	1.09%
IE18-3	10896	1.09%
IE19-1	10768	1.08%
IE18-4	10580	1.06%
IE24-2	10274	1.03%
IE23-1	10173	1.02%
IE24-5	10071	1.01%
IE24-1	9932	0.99%
IE16-3	9880	0.99%
IE11-5	9870	0.99%
IE13-3	9520	0.95%
IE11-1	8916	0.89%
IE13-1	8784	0.88%
IE11-2	8750	0.88%
IE18-1	7488	0.75%
