FileBasename	BrainRegion	Treatment
IE11-1	hyp	T
IE12-1	hyp	T
IE13-1	hyp	T
IE14-1	hyp	T
IE16-1	hyp	T
IE20-1	hyp	T
IE18-1	hyp	C
IE19-1	hyp	C
IE21-1	hyp	C
IE22-1	hyp	C
IE23-1	hyp	C
IE24-1	hyp	C
IE10-2	hip	T
IE11-2	hip	T
IE12-2	hip	T
IE13-2	hip	T
IE14-2	hip	T
IE16-2	hip	T
IE17-2	hip	C
IE19-2	hip	C
IE21-2	hip	C
IE22-2	hip	C
IE23-2	hip	C
IE24-2	hip	C
IE10-3	amy	T
IE11-3	amy	T
IE13-3	amy	T
IE14-3	amy	T
IE16-3	amy	T
IE17-3	amy	C
IE18-3	amy	C
IE19-3	amy	C
IE20-3	amy	T
IE21-3	amy	C
IE22-3	amy	C
IE23-3	amy	C
IE10-4	pag	T
IE11-4	pag	T
IE13-4	pag	T
IE14-4	pag	T
IE16-4	pag	T
IE20-4	pag	T
IE17-4	pag	C
IE18-4	pag	C
IE19-4	pag	C
IE22-4	pag	C
IE23-4	pag	C
IE24-4	pag	C
IE10-5	ni	T
IE11-5	ni	T
IE12-5	ni	T
IE13-5	ni	T
IE16-5	ni	T
IE20-5	ni	T
IE17-5	ni	C
IE18-5	ni	C
IE19-5	ni	C
IE21-5	ni	C
IE23-5	ni	C
IE24-5	ni	C
